
;-------------------------------
;角色番号
;-------------------------------
0 , 你
1 , 灵梦
2 , 留琴
3 , 卡娜
4 , 魅魔
5 , 桑尼
6 , 露娜
7 , 斯塔
8 , 千百合
9 , 梦美
10 , 萃香
11 , 魔理沙
12 , 露米娅
13 , 大妖精
14 , 琪露诺
15 , 咲夜
16 , 蕾米莉亚
17 , 爱丽丝
18 , 莉莉Ｗ
19 , 莉莉Ｂ
20 , 莉莉卡
21 , 梅露兰
22 , 露娜萨
23 , 妖梦
24 , 橙
25 , 蓝
26 , 紫
27 , 莉格露
28 , 米斯蒂亚
28 , 米斯蒂娅
29 , 文
30 , 映姬
31 , 早苗
32 , 神奈子
33 , 诹访子
34 , 天子
35 , 衣玖
36 , 阿燐
37 , 阿空
38 , 恋
39 , 纳兹琳
40 , 小伞
41 , 鵺
42 , 果
43 , 华扇
44 , 爱莲
45 , 理香子
46 , 明罗
47 , 里香
48 , 露易兹
49 , 觉
50 , 芙兰
51 , 荷取
52 , 铃仙
53 , 帝
54 , 帕秋莉
55 , 白莲
56 , 神子
57 , 心
58 , 美铃
59 , 小恶魔
60 , 帕露西
61 , 妹红
62 , 辉夜
63 , 影狼
64 , 勇仪
65 , 椛
66 , 幽幽子
67 , 慧音
68 , 幽香
69 , 猯藏
70 , 小铃
71 , 针妙丸
72 , 永琳
73 , 蛮奇
74 , 蕾蒂
75 , 梅蒂欣
76 , 小町
77 , 静叶
78 , 穰子
79 , 雏
80 , 阿求
81 , 莲子
82 , 梅莉
83 , 琪斯美
84 , 山女
85 , 一轮
86 , 村纱
87 , 星
88 , 响子
89 , 芳香
90 , 青娥
91 , 屠自古
92 , 布都
93 , 若鹭姬
94 , 弁弁
95 , 八桥
96 , 雷鼓
97 , 正邪
98 , 依姬
99 , 丰姬
100 , 铃仙二号
101 , 朱鹭子
102 , 神绮
103 , 梦子
104 , 雪
105 , ​舞​
106 , 菫子
107 , 清兰
108 , 铃瑚
109 , 哆来咪
110 , 探女
111 , 克劳恩皮丝
112 , 纯狐
113 , 赫卡提亚
114 , 胡桃
115 , 艾丽
116 , 梦月
117 , 幻月
118 , 拉尔瓦
119 , 合欢乃
120 , 阿吽
121 , 成美
122 , 舞
123 , 里乃
124 , 隐岐奈
125 , 女苑
126 , 紫苑
127 , 璎花
128 , 润美
129 , 久侘歌
130 , 八千慧
131 , 磨弓
132 , 袿姬
133 , 早鬼
134 , 美宵
135 , 三花
136 , 高岭
137 , 驹草
138 , 魅须丸
139 , 典
140 , 龙
141 , 千亦
142 , 百百世
143 , 尤魔
144 , 影华扇
145 , 小兔姬
146 , 依莉斯
147 , 萨丽爱尔
148 , 萨拉
149 , 奥莲姬
150 , 矜羯罗
151 , 魔眼
152 , 菊理
153 , 美天
154 , 慧之子
155 , 血枪
156 , 日狭美
157 , 残无
158 , 瑞灵
159 , 先代
160 , 麟
161 , 路人子

;-------------------------------
;角色番号
;-------------------------------
0 , 你
1 , 霊夢
2 , 留琴
3 , 卡娜
4 , 魅魔
5 , 桑尼
6 , 露娜
7 , 斯塔
8 , 千百合
9 , 夢美
10 , 萃香
11 , 魔理沙
12 , 露米亜
13 , 大妖精
14 , 琪露諾
15 , 咲夜
16 , 蕾米莉亜
17 , 愛麗絲
18 , 莉莉白
19 , 莉莉黑
20 , 莉莉卡
21 , 梅露蘭
22 , 露娜薩
23 , 妖夢
24 , 橙
25 , 藍
26 , 紫
27 , 莉格露
28 , 米斯蒂亜
29 , 文
30 , 映姫
31 , 早苗
32 , 神奈子
33 , 諏訪子
34 , 天子
35 , 衣玖
36 , 阿燐
37 , 阿空
38 , 恋
39 , 納茲琳
40 , 小傘
41 , 鵺
42 , 極
43 , 華扇
44 , 爱莲
45 , 理香子
46 , 明羅
47 , 里香
48 , 露易茲
49 , 覚
50 , 芙兰朵露
51 , 荷取
52 , 鈴仙
53 , 帝
54 , 帕秋莉
55 , 白蓮
56 , 神子
57 , 心
58 , 美鈴
59 , 小悪魔
60 , 帕露西
61 , 妹紅
62 , 輝夜
63 , 影狼
64 , 勇儀
65 , 椛
66 , 幽幽子
67 , 慧音
68 , 幽香
69 , 猯藏
70 , 小鈴
71 , 針妙丸
72 , 永琳
73 , 蛮奇
74 , 蕾蒂
75 , 梅蒂欣
76 , 小町
77 , 静葉
78 , 穣子
79 , 雛
80 , 阿求
81 , 蓮子
82 , 梅莉
83 , 琪斯美
84 , 山女
85 , 一輪
86 , 村紗
87 , 星
88 , 響子
89 , 芳香
90 , 青娥
91 , 屠自古
92 , 布都
