;------------------------------------------------------------
;	差し替え
;------------------------------------------------------------
;主な仕様は顔.csvまたは立絵.csvを参照

;・リソース定義規則
;顔絵の種類(ファイル名違い)_服装(Yの段落振り)_表情(Xの段落振り)_角色ID_差分

;リソース名,元ファイル名,x,y,width,height
;默认ネーム
;別顔_服_通常_17,17_別顔.webp,0,0,180,180
;別立ち_服_通常_17,17_別立ち.webp,0,0,180,180

;・替换用画像の追加方法
;追加したい角色の Chara.csv(CSV\Chare\CharaX ○○.csv のこと) に以下の行を追加
;別顔絵追加の場合   フラグ,別顔有,1
;別立絵追加の場合   フラグ,別立ち有,1
;他角色を参考に各画像のリソースを定義
;あとはShopでUPDATEを行えばおしまい。

;・2種類以降の替换用画像を指定する場合
;Chara.csvに追加する行を
;   フラグ,別顔有,2
;   フラグ,別立ち有,2
;リソース名を
;   別2顔_服_通常_~
;   別2立ち_服_通常_~
;で指定できる 以下数字の加算で何種類でも指定可能。

;------------------------------------------------------------					
					
;------------------------------------------------------------					
;1_霊夢
;------------------------------------------------------------					
;服					
別立ち4_服_通常_1,1_isaac.webp,0,0,720,720
別立ち4_服_笑顔_1,1_isaac.webp,720,0,720,720
別立ち4_服_憤怒_1,1_isaac.webp,1440,0,720,720
;裸					
別立ち4_裸_通常_1,1_isaac.webp,0,720,720,720
別立ち4_裸_笑顔_1,1_isaac.webp,720,720,720,720
別立ち4_裸_憤怒_1,1_isaac.webp,1440,720,720,720
;差分
別立ち4_服_通常_1_冬服,1_isaac.webp,0,0,720,720
別立ち4_服_笑顔_1_冬服,1_isaac.webp,720,0,720,720
別立ち4_服_憤怒_1_冬服,1_isaac.webp,1440,0,720,720
別立ち4_裸_通常_1_冬服,1_isaac.webp,0,720,720,720
別立ち4_裸_笑顔_1_冬服,1_isaac.webp,720,720,720,720
別立ち4_裸_憤怒_1_冬服,1_isaac.webp,1440,720,720,720
;
;;------------------------------------------------------------
;;2_る～こと
;;------------------------------------------------------------
;;服
;立絵_服_通常_2,2_isaac.webp,0,0,720,720
;立絵_服_笑顔_2,2_isaac.webp,720,0,720,720
;立絵_服_憤怒_2,2_isaac.webp,1440,0,720,720
;;裸
;立絵_裸_通常_2,2_isaac.webp,0,720,720,720
;立絵_裸_笑顔_2,2_isaac.webp,720,720,720,720
;立絵_裸_憤怒_2,2_isaac.webp,1440,720,720,720
;;差分
;
;;------------------------------------------------------------
;;3_喀娜
;;------------------------------------------------------------
;;服
;立絵_服_通常_3,3_isaac.webp,0,0,720,720
;立絵_服_笑顔_3,3_isaac.webp,720,0,720,720
